1 0 1 1 0.18 0.250		1 0 0 0	Up
1 0 1 1 0.18 0.250		1 0 0 0	Up
1 0 1 1 0.18 0.250		1 0 0 0	Up
1 0 1 1 0.18 0.250		1 0 0 0	Up
1 0 1 1 0.18 0.250		1 0 0 0	Up
1 0 1 1 0.18 0.250		1 0 0 0	Up
1 0 1 1 0.18 0.875		0 0 1 0	Left
1 1 1 0 0.18 0.875		0 0 1 0	Left
1 1 1 0 0.19 0.875		0 0 1 0	Left
1 1 1 0 0.19 0.875		0 1 0 0	Down
0 1 1 1 0.19 0.875		0 1 0 0	Down
0 1 1 1 0.19 0.000		0 1 0 0	Down
0 1 1 1 0.19 0.125		0 1 0 0	Down
0 1 1 1 0.19 0.125		0 1 0 0	Down
0 1 1 1 0.19 0.125		0 1 0 0	Down
0 1 1 1 0.19 0.125		0 1 0 0	Down
0 1 1 1 0.19 0.125		0 0 0 1	Right
1 1 0 1 0.19 0.125		0 0 0 1	Right
1 1 0 1 0.19 0.125		0 0 0 1	Right
1 1 0 1 0.19 0.125		0 0 0 1	Right
1 1 0 1 0.19 0.125		0 0 0 1	Right
1 1 0 1 0.19 0.250		1 0 0 0	Up
1 0 1 1 0.19 0.250		1 0 0 0	Up
1 0 1 1 0.19 0.250		1 0 0 0	Up
1 0 1 1 0.19 0.250		1 0 0 0	Up
1 0 1 1 0.19 0.250		1 0 0 0	Up
1 0 1 1 0.19 0.675		1 0 0 0	Up
1 0 1 1 0.19 0.675		1 0 0 0	Up
1 0 1 1 0.2 0.675		1 0 0 0	Up
0 0 1 1 0.2 0.675		0 0 1 0	Left
0 1 1 0 0.2 0.675		0 0 1 0	Left
0 1 1 0 0.2 0.675		0 0 1 0	Left
0 1 1 0 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.750		0 1 0 0	Down
0 1 1 1 0.2 0.875		0 0 1 0	Left
1 1 1 0 0.2 0.875		1 0 0 0	Up
1 0 1 0 0.21 0.875		1 0 0 0	Up
1 0 1 0 0.21 0.875		1 0 0 0	Up
1 0 1 0 0.21 0.875		0 0 1 0	Left
1 1 1 0 0.21 0.875		0 1 0 0	Down
0 1 1 0 0.21 0.875		0 1 0 0	Down
0 1 1 0 0.21 0.875		0 1 0 0	Down
0 1 1 0 0.21 0.875		0 1 0 0	Down
0 1 1 1 0.21 0.875		0 0 0 1	Right
0 1 0 1 0.21 0.875		0 0 0 1	Right
0 1 0 1 0.21 0.875		0 0 0 1	Right
1 1 0 1 0.21 0.875		0 0 0 1	Right
1 1 0 1 0.21 0.875		0 1 0 0	Down
0 0 1 1 0.21 0.000		0 0 0 1	Right
1 0 0 1 0.21 0.375		0 0 0 1	Right
1 0 0 0 0.21 0.375		1 0 0 0	Up
1 0 1 0 0.22 0.375		1 0 0 0	Up
1 0 1 0 0.22 0.375		0 0 1 0	Left
1 1 1 0 0.22 0.375		0 0 1 0	Left
1 0 1 0 0.22 0.250		1 0 0 0	Up
1 0 1 1 0.22 0.250		1 0 0 0	Up
1 0 1 1 0.22 0.250		1 0 0 0	Up
1 0 1 1 0.22 0.675		0 0 0 1	Right
